Customer ID,Recency,Frequency,Monetary,Cluster,Segment,Churn
12346.0,38,10,230.55,1,💛 Loyal,0
12358.0,122,1,1429.83,0,🏆 Champions,1
12359.0,17,4,1522.23,1,💛 Loyal,0
12360.0,16,2,158.0,1,💛 Loyal,0
12361.0,73,1,109.19999999999999,0,🏆 Champions,0
12362.0,129,1,130.0,0,🏆 Champions,1
12366.0,24,1,500.24,1,💛 Loyal,0
12368.0,18,1,917.6999999999999,1,💛 Loyal,0
12369.0,32,1,348.32,1,💛 Loyal,0
12370.0,15,3,774.62,1,💛 Loyal,0
12371.0,35,2,607.6800000000001,1,💛 Loyal,0
12373.0,15,2,763.0500000000001,1,💛 Loyal,0
12380.0,37,3,3217.3,1,💛 Loyal,0
12389.0,46,1,164.85,1,💛 Loyal,0
12391.0,46,2,750.49,1,💛 Loyal,0
12396.0,65,1,931.43,0,🏆 Champions,0
12399.0,35,1,205.98,1,💛 Loyal,0
12402.0,61,1,191.7,0,🏆 Champions,0
12404.0,72,1,63.24,0,🏆 Champions,0
12406.0,88,1,881.2,0,🏆 Champions,0
12416.0,47,1,202.56,1,💛 Loyal,0
12417.0,8,5,1465.95,1,💛 Loyal,0
12418.0,21,1,343.94,1,💛 Loyal,0
12422.0,1,3,1133.45,1,💛 Loyal,0
12426.0,53,1,762.48,1,💛 Loyal,0
12431.0,36,3,1514.8600000000001,1,💛 Loyal,0
12435.0,28,2,1736.88,1,💛 Loyal,0
12437.0,15,6,3799.32,1,💛 Loyal,0
12439.0,73,2,1158.18,0,🏆 Champions,0
12440.0,108,1,568.51,0,🏆 Champions,1
12443.0,122,1,485.31,0,🏆 Champions,1
12455.0,17,2,2414.34,1,💛 Loyal,0
12466.0,72,1,56.73,0,🏆 Champions,0
12468.0,73,1,441.23,0,🏆 Champions,0
12470.0,80,1,211.95,0,🏆 Champions,0
12471.0,14,19,6496.56,3,❌ Lost,0
12472.0,8,6,3756.92,1,💛 Loyal,0
12474.0,57,1,158.7,1,💛 Loyal,0
12477.0,14,1,2021.23,1,💛 Loyal,0
12482.0,1,10,11915.76,1,💛 Loyal,0
12483.0,24,4,865.9,1,💛 Loyal,0
12484.0,40,3,706.8,1,💛 Loyal,0
12487.0,121,1,285.29999999999995,0,🏆 Champions,1
12490.0,31,6,2112.0099999999998,1,💛 Loyal,0
12495.0,31,1,357.4,1,💛 Loyal,0
12496.0,11,2,54.09,1,💛 Loyal,0
12497.0,35,1,1211.76,1,💛 Loyal,0
12500.0,24,5,869.49,1,💛 Loyal,0
12510.0,14,6,3414.23,1,💛 Loyal,0
12514.0,32,1,580.08,1,💛 Loyal,0
12523.0,28,4,866.84,1,💛 Loyal,0
12524.0,16,3,2282.58,1,💛 Loyal,0
12525.0,38,1,566.4300000000001,1,💛 Loyal,0
12530.0,33,1,357.0,1,💛 Loyal,0
12531.0,77,1,1807.98,0,🏆 Champions,0
12533.0,18,2,1367.89,1,💛 Loyal,0
12539.0,107,2,5149.06,0,🏆 Champions,1
12540.0,15,6,2496.62,1,💛 Loyal,0
12542.0,30,1,364.79,1,💛 Loyal,0
12549.0,72,4,1159.3700000000001,0,🏆 Champions,0
12555.0,72,1,129.23,0,🏆 Champions,0
12557.0,113,1,1952.64,0,🏆 Champions,1
12567.0,57,1,522.28,1,💛 Loyal,0
12568.0,35,1,70.0,1,💛 Loyal,0
12570.0,72,1,77.52,0,🏆 Champions,0
12577.0,126,1,210.55,0,🏆 Champions,1
12583.0,8,3,2123.49,1,💛 Loyal,0
12586.0,114,1,422.35,0,🏆 Champions,1
12589.0,80,1,715.5,0,🏆 Champions,0
12594.0,37,1,154.14,1,💛 Loyal,0
12598.0,36,2,649.71,1,💛 Loyal,0
12600.0,50,5,1133.07,1,💛 Loyal,0
12606.0,72,1,21.0,0,🏆 Champions,0
12609.0,8,2,720.55,1,💛 Loyal,0
12613.0,116,1,1350.81,0,🏆 Champions,1
12615.0,22,1,1155.48,1,💛 Loyal,0
12621.0,22,2,1322.52,1,💛 Loyal,0
12623.0,38,2,1923.82,1,💛 Loyal,0
